"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Login with null email and password","SUCCESS","2022-11-08T21:10:24.3010982+07:00[Asia/Bangkok]","0.0","4.73"
"Login","Login with valid email and password","SUCCESS","2022-11-08T21:10:29.5327551+07:00[Asia/Bangkok]","0.0","3.34"
"Login","Login with invalid email and password","SUCCESS","2022-11-08T21:10:33.0206629+07:00[Asia/Bangkok]","0.0","4.53"
"Login","Login with valid email and invalid password","SUCCESS","2022-11-08T21:10:37.737759+07:00[Asia/Bangkok]","0.0","4.19"
"Login","Login with invalid email and valid password","SUCCESS","2022-11-08T21:10:42.059855+07:00[Asia/Bangkok]","0.0","4.16"
"Login","Login with valid email and null password","SUCCESS","2022-11-08T21:10:46.3943528+07:00[Asia/Bangkok]","0.0","4.11"
"Login","Login with null email and valid password","SUCCESS","2022-11-08T21:10:50.6589297+07:00[Asia/Bangkok]","0.0","4.1"
"Login","Login with invalid email and null password","SUCCESS","2022-11-08T21:10:54.9103383+07:00[Asia/Bangkok]","0.0","3.97"
"Login","Login with null email and invalid password","SUCCESS","2022-11-08T21:10:59.0001314+07:00[Asia/Bangkok]","0.0","3.78"
