"Story","Title","Result","Date","Stability","Duration (s)"
"Register","Register with null nama, email and password","SUCCESS","2022-11-08T21:11:09.4253036+07:00[Asia/Bangkok]","0.0","4.7"
"Register","Register with valid nama, null email and null password","SUCCESS","2022-11-08T21:11:14.2606538+07:00[Asia/Bangkok]","0.0","4.35"
"Register","Register with valid nama, valid email, and null password","SUCCESS","2022-11-08T21:11:18.7428392+07:00[Asia/Bangkok]","0.0","4.62"
"Register","Register with null nama, null email, and valid password","SUCCESS","2022-11-08T21:11:23.4958736+07:00[Asia/Bangkok]","0.0","4.35"
"Register","Register with null nama, valid email, and null password","SUCCESS","2022-11-08T21:11:27.9942148+07:00[Asia/Bangkok]","0.0","4.61"
"Register","Register with null nama, valid email, and valid password","SUCCESS","2022-11-08T21:11:32.7407041+07:00[Asia/Bangkok]","0.0","4.68"
"Register","Register with valid nama, null email, and valid password","SUCCESS","2022-11-08T21:11:37.5553073+07:00[Asia/Bangkok]","0.0","4.1"
"Register","Register with valid nama, valid email, and valid password","SUCCESS","2022-11-08T21:11:41.8044299+07:00[Asia/Bangkok]","0.0","4.52"
